   0.305055551E-06   0.376224898E-05   0.672993656E-05   0.918681849E-06
   0.169086405E-06   0.207457174E-05   0.376594085E-05   0.538540860E-06
   0.900119304E-07   0.111839302E-05   0.203690070E-05   0.310152899E-06
   0.623219307E-07   0.760768899E-06   0.143050772E-05   0.218504312E-06
   0.213115090E-07   0.270407412E-06   0.496148800E-06   0.808552159E-07
   0.257497179E-08   0.415773904E-07   0.649447429E-07   0.147516701E-07
   0.820895574E-09   0.733330419E-08   0.724970217E-08   0.325923954E-08
   0.383210663E-08   0.314990203E-07   0.703580767E-07   0.820151769E-08
   0.213104046E-08   0.128637589E-07   0.283692803E-07   0.188388416E-08
   0.585802429E-08   0.466774068E-07   0.100151645E-06   0.107706040E-07
   0.120453194E-07   0.892757583E-07   0.114789323E-06   0.241671714E-07
   0.113991661E-07   0.104886027E-06   0.211640867E-06   0.290721189E-07
   0.355732399E-08   0.260598458E-07   0.556474475E-07   0.528568300E-08
   0.516205612E-08   0.431009077E-07   0.826809909E-07   0.111471232E-07
   0.482300733E-08   0.452917917E-07   0.999899328E-07   0.131140769E-07
   0.242730969E-08   0.192842595E-07   0.343934481E-07   0.497196062E-08
   0.133988065E-08   0.148048418E-07   0.289208177E-07   0.559612801E-08
   0.236314279E-08   0.167916863E-07   0.575151526E-08   0.886173623E-08
   0.119270682E-08   0.632118446E-08  -0.183861015E-07   0.450941462E-08
   0.234852626E-08   0.892243968E-08  -0.350126896E-07   0.637127462E-08
   0.132072775E-08   0.126524400E-07   0.442933157E-08   0.725602023E-08
   0.840019343E-08   0.271491469E-07  -0.116527787E-06   0.178394810E-07
   0.406936529E-08   0.137052689E-07  -0.409887591E-07   0.618568441E-08
   0.818160473E-08   0.239138487E-07  -0.107777240E-06   0.149690749E-07
   0.186999074E-07   0.521296997E-07  -0.239358826E-06   0.316080424E-07
   0.185070270E-07   0.549055024E-07  -0.240372998E-06   0.329230367E-07
   0.212141789E-07   0.617264746E-07  -0.277486663E-06   0.383536438E-07
   0.119120358E-07   0.328957590E-07  -0.146526446E-06   0.181694144E-07
   0.515195708E-08   0.143062051E-07  -0.484008282E-07   0.500368946E-08
   0.376538356E-08   0.964766933E-08  -0.445642314E-07   0.546829870E-08
   0.134340883E-08   0.838018455E-08  -0.171530434E-07   0.639859365E-08
   0.221678231E-07   0.725613347E-07  -0.288198265E-06   0.469253720E-07
   0.434785647E-07   0.140775853E-06  -0.559048942E-06   0.936374747E-07
   0.144933608E-06   0.437552757E-06  -0.180733036E-05   0.278525960E-06
   0.385497344E-06   0.111024531E-05  -0.464743835E-05   0.637921687E-06
   0.674534647E-06   0.189206548E-05  -0.798450947E-05   0.110434337E-05
   0.989129489E-06   0.269942234E-05  -0.112935404E-04   0.147710546E-05
   0.147668334E-05   0.393674782E-05  -0.163212317E-04   0.211481006E-05
   0.198939597E-05   0.516150567E-05  -0.208664787E-04   0.254602674E-05
   0.212792838E-05   0.532877311E-05  -0.207074827E-04   0.247514322E-05
   0.224114342E-05   0.542931502E-05  -0.192927582E-04   0.225323583E-05
   0.211648353E-05   0.484643215E-05  -0.139848826E-04   0.158580372E-05
   0.177300274E-05   0.359489445E-05  -0.528153805E-05   0.617388878E-06
   0.221260098E-05   0.385453814E-05  -0.212636428E-05   0.338472262E-06
   0.485482406E-05   0.829175860E-05  -0.168820152E-04   0.186242823E-05
   0.118254393E-04   0.208740512E-04  -0.650879010E-04   0.643660042E-05
   0.263167731E-04   0.471351996E-04  -0.168786341E-03   0.155044963E-04
   0.521276670E-04   0.934697600E-04  -0.349013717E-03   0.300764150E-04
   0.946353757E-04   0.168538376E-03  -0.633429212E-03   0.514034473E-04
   0.158115363E-03   0.279384461E-03  -0.102964742E-02   0.785143930E-04
   0.245795643E-03   0.431454973E-03  -0.152698986E-02   0.108686378E-03
   0.361592334E-03   0.632881944E-03  -0.211317884E-02   0.139440119E-03
   0.511055696E-03   0.894207740E-03  -0.278260699E-02   0.170802305E-03
   0.694423041E-03   0.122087891E-02  -0.347565068E-02   0.196599751E-03
   0.916069723E-03   0.162398547E-02  -0.416820636E-02   0.215958848E-03
   0.117274479E-02   0.210310123E-02  -0.476884237E-02   0.224856689E-03
   0.146599312E-02   0.266383006E-02  -0.523283379E-02   0.221277238E-03
   0.179597479E-02   0.330575975E-02  -0.551316561E-02   0.205573640E-03
   0.215262477E-02   0.400758209E-02  -0.552402716E-02   0.176751986E-03
   0.251723337E-02   0.472878898E-02  -0.517960405E-02   0.135822222E-03
   0.286390516E-02   0.541414507E-02  -0.443000905E-02   0.891131858E-04
   0.315432437E-02   0.598734198E-02  -0.325597753E-02   0.444344805E-04
   0.335055846E-02   0.637282245E-02  -0.173120096E-02   0.119363194E-04
   0.341861183E-02   0.650730729E-02  -0.448792425E-08   0.000000000E+00
